"Id_Loja","Departamento","Categoria","SubCategoria","Marca","Unidade","Volume","codigo_barra","Nome","dt_cadastro","dt_ultima_alteracao","vlr_produto","vlr_promocao","qtd_estoque_atual","qtd_estoque_minimo","Descricao","ativo","plu","vlr_compra","validade_proxima","qtd_atacado","image_url"
"201",LIMPEZA,LIMPEZA DE ROUPA,SABAO PEDRA,"",PT,"1",7896098900109,SABAO YPE NEUTR 5X200G,"03/08/2020","03/08/2020",9.42,0.00,100.0000,10.0000,SABAO YPE NEUTRO 5X200G,S,"775622",6.29,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900109.png
"201",LIMPEZA,LIMPEZA DE ROUPA,SABAO PEDRA,"",PT,"1",7896098900116,SABAO YPE PERF 5X200G,"03/08/2020","03/08/2020",9.30,0.00,100.0000,10.0000,SABAO YPE M ATIVO PERF 5X200G,S,"775630",6.20,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900116.png
"201",LIMPEZA,LIMPEZA DE ROUPA,SABAO PEDRA,"",PT,"1",7896098900123,SABAO FRES PERF 5X200G,"03/08/2020","03/08/2020",9.30,0.00,100.0000,10.0000,SABAO YPE FRESH PERF 5X200G,S,"775649",6.20,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900123.png
"201",LIMPEZA,LIMPEZA DE ROUPA,SABAO PEDRA,"",UN,"1",7896098900130,SABAO YPE PERF 5X200G,"03/08/2020","03/08/2020",9.30,0.00,100.0000,10.0000,SABAO YPE M ATIVO PERF FLOR FRUT 5X200G,S,"1018434",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900130.png
"201",LIMPEZA,LIMPEZA DE ROUPA,SABAO PEDRA,"",UN,"1",7896098900154,SABAO ALOE VERA 5X200G,"03/08/2020","03/08/2020",9.30,0.00,100.0000,10.0000,SABAO YPE ALOE VERA PERF 5X200G,S,"1018418",6.20,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900154.png
"201",LIMPEZA,LIMPEZA GERAL,LIMPADORES,"",UN,"1",7896098900178,LIMP MULT ALCOOL 500ML,"03/08/2020","03/08/2020",4.01,0.00,100.0000,10.0000,LIMP YPE MULTIUSO C/ALCOOL 500ML,S,"1672924",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900178.png
"201",LIMPEZA,LIMPEZA COZINHA,DETERGENTE LIQUIDO,"",UN,"1",7896098900208,DETERG LIQ NEUTR 500ML,"03/08/2020","03/08/2020",2.52,0.00,100.0000,10.0000,DETERG LIQ YPE NEUTRO 500ML,S,"775657",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900208.png
"201",LIMPEZA,LIMPEZA COZINHA,DETERGENTE LIQUIDO,"",UN,"1",7896098900215,DETERG LIG MACA 500ML,"03/08/2020","03/08/2020",2.52,0.00,100.0000,10.0000,DETERG LIQ YPE MACA 500ML,S,"775720",1.54,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900215.png
"201",LIMPEZA,LIMPEZA COZINHA,DETERGENTE LIQUIDO,"",UN,"1",7896098900222,DETERG LIQ LIMAO 500ML,"03/08/2020","03/08/2020",2.52,0.00,100.0000,10.0000,DETERG LIQ YPE LIMAO 500ML,S,"775711",1.54,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900222.png
"201",LIMPEZA,LIMPEZA COZINHA,DETERGENTE LIQUIDO,"",UN,"1",7896098900239,DETERG LIQ COCO 500ML,"03/08/2020","03/08/2020",2.52,0.00,100.0000,10.0000,DETERG LIQ YPE COCO 500ML,S,"775746",1.54,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900239.png
"201",LIMPEZA,LIMPEZA COZINHA,DETERGENTE LIQUIDO,"",UN,"1",7896098900253,DETERG LIQ CLEAR 500ML,"03/08/2020","03/08/2020",2.52,0.00,100.0000,10.0000,DETERG LIQ YPE CLEAR 500ML,S,"775754",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098900253.png
